Date,Open,High,Low,Close,Volume
29-Dec-00,30.88,31.31,28.62,29.06,29118900
28-Dec-00,30.56,31.62,30.38,31.06,24503200
27-Dec-00,30.38,31.06,29.38,30.69,25048500
26-Dec-00,31.50,32.19,30.00,30.94,19854300
22-Dec-00,30.38,32.00,30.00,31.88,34787300
21-Dec-00,27.81,30.25,27.31,29.50,45875000
20-Dec-00,28.06,29.81,27.50,28.50,53513900
19-Dec-00,31.81,33.12,30.00,30.62,57065000
18-Dec-00,30.00,32.44,29.94,32.00,60536600
15-Dec-00,29.44,30.08,28.19,28.56,6027200
14-Dec-00,29.25,29.94,26.38,27.50,40588800
13-Dec-00,31.94,32.00,28.25,28.38,37050000
12-Dec-00,31.88,32.50,30.41,30.75,25818200
11-Dec-00,30.50,32.25,30.00,31.94,48343000
8-Dec-00,30.25,30.62,28.62,30.06,38443900
7-Dec-00,29.62,29.94,27.56,28.31,39998500
6-Dec-00,31.19,31.62,29.31,30.19,40885100
5-Dec-00,29.44,31.62,28.88,31.50,57834900
4-Dec-00,26.25,29.56,26.19,28.19,39926800
1-Dec-00,26.38,27.88,25.50,26.44,48105600
30-Nov-00,21.75,27.62,21.50,26.50,81105600
29-Nov-00,23.12,23.62,21.00,22.88,72610700
28-Nov-00,23.50,23.81,22.25,22.66,42044200
27-Nov-00,25.44,25.81,22.88,23.12,44453200
24-Nov-00,23.38,24.25,23.12,24.12,21572100
22-Nov-00,23.62,24.06,22.06,22.31,52625100
21-Nov-00,24.81,25.62,23.62,23.88,57699500
20-Nov-00,24.38,25.88,24.00,24.75,87847600
17-Nov-00,26.94,29.25,24.62,28.81,49174000
16-Nov-00,28.75,29.81,27.25,27.38,37535200
15-Nov-00,28.81,29.44,27.70,28.88,49872600
14-Nov-00,27.44,29.00,26.50,28.38,75975600
13-Nov-00,25.12,25.88,23.50,24.75,60872300
10-Nov-00,26.38,26.94,24.88,25.44,53122800
9-Nov-00,24.69,27.38,24.06,27.19,66336200
8-Nov-00,27.38,27.50,24.50,24.81,62434000
7-Nov-00,28.25,28.44,25.62,26.56,57857700
6-Nov-00,30.69,31.00,27.50,27.94,75551500
3-Nov-00,31.50,31.75,29.50,30.31,63976500
2-Nov-00,32.44,32.50,27.25,29.56,47930300
1-Nov-00,32.81,33.19,30.38,31.38,61776100
31-Oct-00,32.62,34.75,32.50,33.00,39758300
30-Oct-00,33.75,34.12,31.38,31.62,34714500
27-Oct-00,34.50,35.19,33.00,34.19,33593800
26-Oct-00,34.75,35.88,30.94,34.06,48954000
25-Oct-00,36.50,36.62,34.00,34.38,32569300
24-Oct-00,35.00,36.56,34.50,35.81,35771900
23-Oct-00,34.75,35.25,33.38,34.06,27330300
20-Oct-00,36.12,36.50,34.94,35.25,33303400
19-Oct-00,36.00,36.50,34.62,36.38,38096400
18-Oct-00,31.56,35.38,30.50,33.56,51707800
17-Oct-00,0.00,34.44,31.50,33.69,28525800
16-Oct-00,36.56,37.00,33.38,34.56,35562700
13-Oct-00,31.00,35.75,30.25,35.62,37681900
12-Oct-00,63.81,64.88,61.75,63.00,24928200
11-Oct-00,63.00,65.98,62.00,62.25,35230500
10-Oct-00,66.06,67.25,63.31,64.62,25063100
9-Oct-00,67.63,68.75,65.12,66.75,20037000
6-Oct-00,69.25,71.62,66.88,67.62,26053300
5-Oct-00,68.31,69.62,66.50,68.31,26880800
4-Oct-00,66.00,70.75,60.50,68.12,1129700
3-Oct-00,79.81,81.61,68.38,69.50,46673100
2-Oct-00,79.75,82.12,77.72,78.75,22447300
29-Sep-00,81.36,81.69,78.25,78.75,16264500
28-Sep-00,79.50,82.19,78.38,81.48,20576500
27-Sep-00,80.19,80.94,78.00,79.88,23617800
26-Sep-00,79.31,81.00,78.62,79.44,19629500
25-Sep-00,81.13,82.56,78.25,78.75,17010600
22-Sep-00,75.94,80.77,75.50,80.73,29152300
21-Sep-00,79.44,80.00,74.50,78.94,13021900
20-Sep-00,79.00,80.62,77.50,79.94,18472600
19-Sep-00,77.44,79.75,76.12,79.31,26274100
18-Sep-00,78.81,80.00,74.75,76.47,36145200
15-Sep-00,81.13,82.88,77.81,78.31,7661000
14-Sep-00,86.38,86.62,82.56,84.94,31899400
13-Sep-00,77.75,82.75,76.94,81.81,33374900
12-Sep-00,83.00,85.31,78.00,79.38,24016400
11-Sep-00,86.06,86.75,82.38,83.44,20492500
8-Sep-00,90.81,90.88,86.31,86.56,16808700
7-Sep-00,90.13,91.75,89.50,91.19,13867000
6-Sep-00,91.38,91.75,89.06,89.25,18700700
5-Sep-00,92.38,92.81,90.56,91.06,12434600
1-Sep-00,92.20,92.94,90.88,92.62,14897000
31-Aug-00,88.44,91.06,88.44,90.94,18598300
30-Aug-00,87.69,88.81,87.12,88.25,13298500
29-Aug-00,86.83,89.27,86.56,87.75,18422500
28-Aug-00,0.00,87.94,84.94,86.75,12669300
25-Aug-00,84.69,86.81,84.50,84.62,13037000
24-Aug-00,82.88,85.06,82.69,84.69,19622800
23-Aug-00,82.94,83.12,81.00,82.88,12446600
22-Aug-00,82.88,84.19,82.19,83.56,11395700
21-Aug-00,82.12,83.38,80.77,83.19,10018500
18-Aug-00,83.50,84.75,81.12,81.31,15128500
17-Aug-00,80.88,84.06,80.81,83.94,14493100
16-Aug-00,81.38,82.25,81.06,81.19,11196000
15-Aug-00,81.94,83.56,81.00,81.25,15239500
14-Aug-00,80.19,82.56,79.88,82.38,10748800
11-Aug-00,79.94,81.94,79.25,81.12,10948900
10-Aug-00,81.44,82.38,80.00,80.06,11931600
9-Aug-00,83.50,84.28,81.06,81.38,15168100
8-Aug-00,81.00,83.50,80.81,83.00,17174800
7-Aug-00,80.88,82.38,80.75,81.88,19628900
4-Aug-00,78.31,82.31,78.12,81.56,36366400
3-Aug-00,72.81,78.00,71.62,77.44,21593500
2-Aug-00,73.00,75.25,72.38,73.12,14612900
1-Aug-00,75.19,75.88,72.88,73.12,14476600
31-Jul-00,71.75,75.88,71.38,75.19,16301100
28-Jul-00,75.12,76.44,71.06,72.38,16231600
27-Jul-00,75.94,78.00,74.88,75.06,15635200
26-Jul-00,74.81,78.00,74.06,76.75,13964300
25-Jul-00,75.88,76.50,74.31,76.00,13274800
24-Jul-00,77.12,78.62,74.94,75.00,18609400
21-Jul-00,77.44,77.69,75.06,75.44,15004900
20-Jul-00,74.81,79.50,74.75,78.12,16700400
19-Jul-00,75.00,75.94,70.12,73.75,15402000
18-Jul-00,75.69,76.62,73.88,74.19,14348300
17-Jul-00,75.31,78.00,74.06,76.12,15859400
14-Jul-00,76.19,76.50,75.12,76.12,15208200
13-Jul-00,75.75,76.62,74.44,75.75,20439400
12-Jul-00,73.44,75.12,73.00,74.69,16955200
11-Jul-00,73.62,75.25,71.12,72.31,20770700
10-Jul-00,74.62,75.50,72.88,74.12,21586900
7-Jul-00,75.94,77.00,75.50,75.88,15296700
6-Jul-00,71.75,75.88,71.75,75.62,24985700
5-Jul-00,76.81,77.25,71.50,72.31,45977000
3-Jul-00,81.12,81.75,78.88,80.19,20697700
30-Jun-00,80.38,84.50,80.00,84.06,16766900
29-Jun-00,82.06,83.12,79.56,80.88,17454800
28-Jun-00,82.06,85.00,81.69,82.94,15682000
27-Jun-00,82.38,83.94,81.69,82.25,13786500
26-Jun-00,80.25,83.44,79.25,82.69,19168700
23-Jun-00,80.81,81.48,78.56,79.50,19884900
22-Jun-00,84.62,84.94,81.00,81.50,20680200
21-Jun-00,80.81,87.38,80.31,86.19,3190400
20-Jun-00,86.94,89.50,79.00,86.05,25077400
19-Jun-00,82.06,86.50,81.25,86.00,25215600
16-Jun-00,81.88,83.75,81.06,81.88,19621000
15-Jun-00,79.25,82.62,79.12,82.50,17695500
14-Jun-00,81.88,82.00,78.75,79.00,16238300
13-Jun-00,79.98,82.19,78.06,81.69,18236700
12-Jun-00,82.56,82.81,80.25,80.56,11697900
9-Jun-00,82.88,83.75,81.88,82.69,16238400
8-Jun-00,81.88,82.75,80.25,82.38,22601300
7-Jun-00,76.75,80.50,75.56,80.00,16651500
6-Jun-00,80.50,81.50,76.25,77.06,19567400
5-Jun-00,79.25,82.00,79.00,80.94,18356900
2-Jun-00,80.50,81.50,78.50,80.19,28455400
1-Jun-00,73.94,78.25,73.91,77.88,26043600
31-May-00,73.25,76.44,71.50,71.88,24396700
30-May-00,68.88,74.25,68.56,74.19,18783600
26-May-00,66.81,69.50,65.06,67.00,14263800
25-May-00,65.50,70.81,65.00,66.44,40046100
24-May-00,61.77,64.50,58.12,64.25,42153100
23-May-00,67.00,68.50,61.75,62.62,28703000
22-May-00,70.06,70.25,62.75,67.81,45242800
19-May-00,72.00,74.00,69.50,70.06,25401300
18-May-00,78.31,78.75,72.44,73.06,22939200
17-May-00,77.75,79.88,76.56,78.19,16615800
16-May-00,77.62,79.75,77.06,79.19,18771400
15-May-00,74.44,77.50,70.62,77.00,20500700
12-May-00,73.31,76.44,73.06,74.19,19338700
11-May-00,68.94,72.75,68.00,72.38,22939900
10-May-00,70.94,73.12,66.75,67.62,34686300
9-May-00,73.69,74.25,71.25,72.00,21359200
8-May-00,75.31,76.00,72.00,72.31,17801800
5-May-00,74.00,77.00,73.75,76.81,17409400
4-May-00,75.31,76.94,73.12,74.25,19083700
3-May-00,76.88,77.12,72.12,75.81,24440400
2-May-00,78.94,79.50,76.00,77.81,16695000
1-May-00,79.88,81.88,78.75,79.69,18225100
28-Apr-00,78.50,80.03,78.12,79.94,20008600
27-Apr-00,70.06,77.56,69.94,77.31,25689000
26-Apr-00,76.12,77.81,71.06,72.19,23450100
25-Apr-00,74.88,76.62,72.62,75.56,29939400
24-Apr-00,67.38,72.69,67.00,72.44,29105300
20-Apr-00,73.81,75.50,69.88,70.81,24293900
19-Apr-00,78.62,79.56,74.00,74.56,22524800
18-Apr-00,75.56,79.12,73.75,78.94,38241500
17-Apr-00,60.50,75.00,60.17,74.81,6124200
14-Apr-00,69.92,71.28,60.25,63.52,3465800
13-Apr-00,74.88,77.50,71.50,71.94,31002600
12-Apr-00,77.94,80.00,72.75,73.12,32940000
11-Apr-00,80.19,81.62,76.81,77.38,34980600
10-Apr-00,87.50,87.62,81.50,82.50,27243000
7-Apr-00,83.69,87.50,83.00,87.12,22879100
6-Apr-00,80.62,83.44,80.12,82.19,30630600
5-Apr-00,73.25,81.00,72.55,78.25,36343100
4-Apr-00,78.12,78.12,65.08,75.94,11339500
3-Apr-00,78.62,80.62,75.00,76.88,34676400
31-Mar-00,80.19,81.56,76.00,78.06,37901000
30-Mar-00,78.50,84.50,77.70,78.44,34609600
29-Mar-00,86.06,86.12,82.00,82.50,25551000
28-Mar-00,87.62,90.00,85.50,86.56,17482600
27-Mar-00,89.06,89.31,86.94,88.44,16094000
24-Mar-00,86.81,89.69,86.44,87.00,25932000
23-Mar-00,83.12,88.00,82.56,86.88,25047400
22-Mar-00,81.00,84.38,78.88,84.06,25999600
21-Mar-00,77.88,80.88,76.00,80.69,25884800
20-Mar-00,80.50,80.62,77.56,78.12,22979400
17-Mar-00,81.75,82.00,79.50,79.81,31225400
16-Mar-00,80.69,83.00,76.69,81.94,47266300
15-Mar-00,84.00,85.00,77.00,78.62,20605900
14-Mar-00,81.88,83.75,76.50,77.00,34160900
13-Mar-00,0.00,83.62,76.80,78.75,32312800
10-Mar-00,84.00,84.06,80.25,81.62,21678300
9-Mar-00,84.31,85.00,80.12,84.00,27429900
8-Mar-00,77.38,83.56,75.00,83.12,30904100
7-Mar-00,76.62,80.00,74.38,74.94,26374000
6-Mar-00,0.00,76.94,72.38,75.75,22335500
3-Mar-00,0.00,75.38,70.17,75.00,23015800
2-Mar-00,0.00,73.56,67.88,68.50,25370600
1-Mar-00,0.00,74.50,70.75,71.50,21912200
29-Feb-00,73.38,74.50,71.12,74.25,26650800
28-Feb-00,71.25,76.50,68.25,68.62,10771200
25-Feb-00,61.88,71.00,61.88,70.62,435900
24-Feb-00,63.19,65.06,60.25,61.94,34429200
23-Feb-00,60.19,63.27,59.62,63.06,33892200
22-Feb-00,59.12,61.44,56.31,59.31,37275100
18-Feb-00,61.69,62.00,58.00,58.56,30918600
17-Feb-00,61.75,62.75,60.00,61.62,19711100
16-Feb-00,61.00,62.56,60.12,61.25,16459000
15-Feb-00,61.62,63.19,59.12,61.38,23383400
14-Feb-00,60.88,62.69,58.62,62.19,18459100
11-Feb-00,62.50,64.75,58.75,59.69,27395800
10-Feb-00,60.00,62.62,58.00,62.31,21912900
9-Feb-00,60.06,61.31,58.81,60.44,25711000
8-Feb-00,60.75,61.44,59.00,59.56,27120100
7-Feb-00,59.31,60.50,58.42,59.81,21775100
4-Feb-00,57.62,58.25,56.81,57.81,20009700
3-Feb-00,55.38,57.00,54.25,56.69,27006500
2-Feb-00,54.94,56.00,53.38,54.31,31306100
1-Feb-00,51.25,54.31,50.00,54.00,27906200
31-Jan-00,47.94,50.25,47.06,49.95,31814300
28-Jan-00,51.50,51.94,45.75,47.38,41884500
27-Jan-00,55.81,56.69,50.00,51.81,29827400
26-Jan-00,56.75,58.94,55.00,55.06,23299200
25-Jan-00,55.06,57.50,54.88,56.44,25494200
24-Jan-00,60.25,60.38,53.69,54.19,24142700
21-Jan-00,61.50,61.50,59.00,59.69,24683500
20-Jan-00,59.00,60.25,58.12,59.25,26827300
19-Jan-00,56.12,58.25,54.00,57.12,24163700
18-Jan-00,107.88,114.50,105.63,111.25,16182600
14-Jan-00,109.00,111.38,104.75,106.81,13972900
13-Jan-00,108.50,109.88,103.50,105.25,13491800
12-Jan-00,112.25,112.25,103.69,105.63,20484400
11-Jan-00,112.63,114.75,109.50,112.38,20606700
10-Jan-00,108.00,116.00,105.50,115.75,22296800
7-Jan-00,95.00,103.63,93.56,103.38,22626600
6-Jan-00,100.16,105.00,91.00,96.00,1495500
5-Jan-00,101.63,106.38,96.00,102.00,16035300
4-Jan-00,115.50,118.63,105.00,107.69,3852200
3-Jan-00,124.63,125.19,111.63,118.13,23950800
